citanceNumber,referenceArticle,citingArticle,preTwo,preOne,citationSentence,postOne,postTwo,citationCategory
347,N09-1025.xml,PTASL_n09.xml,The algorithm using the lexicalized monolingual TSG as a language model is just a special case of our generative model.,Many researchers are also concerned with the overgeneralization problem of STSG rules.,"For example, Chiang et al. [3] designed many target-side syntax features to improve the string-to-tree translation.","Rather than using a rule lexicalization model, binary features such as rule overlap features, bad-rewrite features and insertion features are employed in the algorithm.","They argue that certain nonterminals are more reliable than others for the rule overlap feature, and they created a binary feature for each root nonterminal of a specified rule.",Single Citance
348,N09-1025.xml,PTASL_n09.xml,"The features proposed by Chiang et al. are also language-dependent, based on a thorough analysis of the tuning set.In contrast to Chiang et al., we argue that in any language pair, the newly generated nonterminal in the target parse tree depends strongly on the underlying source- and target-side lexical strings.","We therefore propose the language-independent generative and discriminative lexicalized STSG models, and regard these models as additional strong features to be integrated into the log-linear model.","Moreover, to establish a strong baseline, we also include the discount feature used by Chiang et al. [3] in our baseline string-to-tree model.",Other related work focuses on grammar or rule lexicalization.,"An example of grammar lexicalization is the proposal of Zhang and Gildea [31], [32] to improve the word alignment using lexicalized inversion transduction grammar.",Single Citance
349,N09-1025.xml,W10-1757.xml,ability (e.g. many different word reorder- ings).,"Larger N may improve reranking performance, but may also increase feature sparsity.","When the number of features is too large, even popular reranking algorithms such as SVM (Shen et al., 2004) and MIRA (Watanabe et al., 2007; Chiang et al., 2009) may fail.",Our goal here is to address this situation.,3 Proposed Reranking Framework.,Multi Citance
350,N09-1025.xml,W10-1757.xml,Combinations of multitask features with high frequency features also give significant improvements over the high frequency features alone.,method.,"Recent work by (Chiang et al., 2009) describes new features for hierarchical phrase-based MT, while (Collins and Koo, 2005) describes features for parsing.","Evaluation campaigns like WMT (CallisonBurch et al., 2009) and IWSLT (Paul, 2009) also contains a wealth of information for feature engineering in various MT tasks.",2,Multi Citance
351,N09-1025.xml,W10-1761.xml,Chiang et al.(2008) rectified this deficiency by using the MIRA to tune all feature function weights in combination.,"However, the translation model continues to be hierarchical.","Chiang et al. (2009) added thousands of linguistically-motivated features to hierarchical and syntax systems, however, the source syntax features are derived from the research above.",The translation model remain constant but the parameterization changes.,Shen et al.(2009) discusses soft syntax constraints and context features in a dependency tree translation model.,Single Citance
352,N09-1025.xml,W10-1761.xml,Initialization Rules are also extracted which contains a mixture of decorated and undecorated non-terminals.,These rules can also be lexicalized or unlexicalized.,"A non-exhaustive sample is given below: [X  Ls, i, i] Terminal Symbol (X  Ls)  G X  ADJ A1 Akt # X1 Act N P  N E1 X2 # X1 X2 T OP  N E1 letzter X2 # X1 Last X2 [X    Fj,k Ls, i, j] [X  Fj,k  Ls, i, j + 1] Non-Terminal Symbol [X    Fj,k Ls, i, j] [X, j, Rj,k ] [X  Fj,k  Ls, i, Rj,k ] [X    Ls, i, Ri,j ] [Fi,j = Ls] the log function (hm = log hm) [X  Ls, i, Ri,j ] log p(tPIPEs) = m hm(t, s) (3) m Goal [X  Ls, 0, PIPEV PIPE  1] An advanta ge of our model over (Marto n and Resnik, 2008; Chiang et al., 2008, 2009) is the number of feature function s remains the same,This model allows translation rules to take ad vantage of both syntactic label and word context.","The presence of default label edges between every node allows undecorated non-terminals to be applied to any span, allowing flexibility in the translation model.","This contrasts with the approach by (Zollmann and Venugopal, 2006) in attempting to improve the coverage of syntactic translation.",Multi Citance
353,N09-1025.xml,W10-1761.xml,"Rather than creating ad-hoc schemes to categories non-terminals with syntactic labels when they do not span syntactic constituencies, we only use labels that are presented by the parser or shallow tagger.","Nor do we try to expand the space where rules can apply by propagating uncertainty from the parser in building input forests, as in (Mi et al., 2008), but we build ambiguity into the translation rule.","The model also differs from (Marton and Resnik, 2008; Chiang et al., 2008, 2009) by adding informative labels to rule non-terminals and requiring them to match the source span label.","The soft constraint in our model pertain not to a additional feature functions based on syntactic information, but to the availability of syntactic and non- syntactic informed rules.","In common with most current SMT systems, the decoding goal of finding the most probable target language sentence ˆt, given a source language sentence s ˆt = argmaxt p(t|s) (1) The argmax function defines the search objective of the decoder.",Multi Citance
354,P00-1025.xml,J06-1004.xml,"reduplication, but no complexity analysis of the model is given.","Moreover, this technique does not seem to be able to describe interdigitation.","Beesley and Karttunen (2000) describe a technique, called compile-replace, for constructing FSTs, which involves reapplying the regular-expression compiler to its own output.","The compile-replace algorithm facilitates a compact definition of non- concatenative morphological processes, but since such expressions compile to the na¨ıve networks, no space is saved.","Furthermore, this is a compile-time mechanism rather than a theoretical and mathematically founded solution.",Single Citance
355,P00-1025.xml,P9852_p00.xml,"As discussed above in Sections 2 and 4, Indonesian morphology includes the non-concatenative proc­ ess of reduplication.",Handling this with pure regu­ lar grammars as implemented by finite state auto­ mata is very difficult.,"Thus, we employ the com pile-replace feature in xfst (Beesley &amp; Karttunen, 2000).","The right bracket is also augmented with A2 to indicate duplication; thus, the full anno­ tation is nA["" and nA2A1"" . Given this network defmition, xfst compiles and post-processes these annotations to produce a new network where the appropriate reduplications have been carried out.","For example, nA [bukuA2AJ"" would eventually be compiled to become bukubuku.",Single Citance
356,P00-1025.xml,PE2006_p00.xml,"reduplication, but no complexity analysis of the model is given.","Moreover, this technique does not seem to be able to describe interdigitation.","Beesley and Karttunen (2000) describe a technique, called compile-replace, for constructing FSTs, which involves reapplying the regular-expression compiler to its own output.","The compile-replace algorithm facilitates a compact definition of non- concatenative morphological processes, but since such expressions compile to the na¨ıve networks, no space is saved.","Furthermore, this is a compile-time mechanism rather than a theoretical and mathematically founded solution.",Single Citance
